timeOpen,close,marketCap
2025-04-17,2.398219011,9255829.57
2025-04-16,2.414677864,9319034.19
2025-04-15,2.248760699,8678408.55
2025-04-14,2.040160813,7873109.56
2025-04-13,2.141507833,8263934.31
2025-04-12,2.20340171,8502486.05
2025-04-11,2.17430312,8389917.91
2025-04-10,2.080183076,8026465.5
2025-04-09,2.17539099,8393543.74
2025-04-08,2.019141905,7790404.37
2025-04-07,2.096382469,8088145.63
2025-04-06,2.063519622,7961081.44
2025-04-05,2.195254739,8469023.44
2025-04-04,2.117985383,8170651.42
2025-04-03,2.125006192,8197455.93
2025-04-02,1.685620634,6502253.74
2025-04-01,1.66453487,6420694.55
2025-03-31,1.621538436,6254610.82
2025-03-30,1.624366457,6265319.92
2025-03-29,1.364614426,5263255.19
2025-03-28,1.393736865,5375395.35
2025-03-27,1.430590616,5517343.24
2025-03-26,1.412674822,5448061.2
2025-03-25,1.428674588,5509573.08
2025-03-24,1.435228339,5534657.61
2025-03-23,1.434103416,5530125.96
2025-03-22,1.398982412,5394507
2025-03-21,1.348311858,5198930.47
2025-03-20,1.414075355,5452323.55
2025-03-19,1.408278376,5429783.49
2025-03-18,1.35886928,5239094.82
2025-03-17,1.372596553,5291834.62
2025-03-16,1.33402951,5142965.87
2025-03-15,1.395387883,5379324.96
2025-03-14,1.403732445,5411304.3
2025-03-13,1.324704466,5106478.61
2025-03-12,1.361908353,5249709.74
2025-03-11,1.362247994,5250839.35
2025-03-10,1.410637602,5437172.38
2025-03-09,1.427432736,5501721.14
2025-03-08,1.545845354,5957906.94
2025-03-07,1.551251465,5978541.64
2025-03-06,1.610865476,6208071.16
2025-03-05,1.62967414,6280350.22
2025-03-04,1.584526709,6106153.7
2025-03-03,1.556352309,5997374.64
2025-03-02,1.70118345,6555251.92
2025-03-01,1.526312032,5881206.62
2025-02-28,1.484392398,5719487.3
2025-02-27,1.485433523,5723302.74
2025-02-26,1.481247503,5706972.7
2025-02-25,1.531538754,5900531.64
2025-02-24,1.551137468,5975832.3
2025-02-23,1.63256279,6289312.15
2025-02-22,1.644499593,6335078.82
2025-02-21,1.628075383,6271590.99
2025-02-20,1.630689076,6281440.42
2025-02-19,1.609180494,6198374.62
2025-02-18,1.607738824,6192608.18
2025-02-17,1.57855592,6079975.78
2025-02-16,1.555940633,5992679.47
2025-02-15,1.561892746,6015392.88
2025-02-14,1.563198537,6020213.92
2025-02-13,1.583300058,6097415.42
2025-02-12,1.554364596,5985778.92
2025-02-11,1.54707564,5957500.83
2025-02-10,1.69273617,6518183.3
2025-02-09,1.688216205,6500555.08
2025-02-08,1.680234025,6469592.03
2025-02-07,1.679583596,6466863.53
2025-02-06,1.689250132,6503856.2
2025-02-05,1.689003188,6502668.12
2025-02-04,1.7487167,6732341.41
2025-02-03,1.795083286,6910605.99
2025-02-02,1.687739131,6497131.75
2025-02-01,1.763336224,6787914.66
2025-01-31,1.821277299,7010712.07
2025-01-30,1.844563671,7100101.18
2025-01-29,1.844247003,7098635.38
2025-01-28,1.820515771,7007043.79
2025-01-27,1.83401972,7058770.76
2025-01-26,1.845843401,7104031.54
2025-01-25,1.871206334,7201395.68
2025-01-24,1.887877198,7265300.03
2025-01-23,1.881062203,7238820.47
2025-01-22,1.884105189,7250273.38
2025-01-21,1.883142799,7246317.53
2025-01-20,1.333999065,5133038.77
2025-01-19,1.692118263,6510801.39
2025-01-18,1.710675083,6581971.85
2025-01-17,1.927169332,7414692.83
2025-01-16,2.550797306,9813726.13
2025-01-15,2.802305946,10780980.76
2025-01-14,2.888188569,11110995.55
2025-01-13,2.823741795,10862681.32
2025-01-12,2.826696187,10873667.61
2025-01-11,2.911546019,11199669.79
2025-01-10,2.993998559,11516430.74
2025-01-09,3.03431424,11671095.35
2025-01-08,3.041047417,11696576.81
2025-01-07,3.26632085,12562590.77
2025-01-06,3.443742827,13244505.91
2025-01-05,3.34796492,12875696.15
2025-01-04,3.348267636,12876402.87
2025-01-03,3.351355736,12887820.7
2025-01-02,3.260626842,12538472.66
2025-01-01,3.219166999,12378608.81
2024-12-31,3.153778243,12126740.32
2024-12-30,3.155280149,12132083.48
2024-12-29,3.18324466,12239134.46
2024-12-28,3.29002926,12649300.3
2024-12-27,3.247216388,12484254.52
2024-12-26,3.32836676,12795789.81
2024-12-25,3.440328557,13225751.27
2024-12-24,3.412571414,13118580.64
2024-12-23,3.265517205,12552826.38
2024-12-22,3.297963377,12677101.25
2024-12-21,3.334705362,12817882.15
2024-12-20,3.354629403,12894002.73
2024-12-19,3.345972947,12860276.23
2024-12-18,3.56857032,13715339.7
2024-12-17,4.262515937,16381849.34
2024-12-16,4.063510254,15616439.21
2024-12-15,4.236036385,16278896.13
2024-12-14,4.167605973,16015343.58
2024-12-13,4.199770334,16138374.84
2024-12-12,4.43480663,17040932.03
